Description,Class
Refuse Collection - Solvent Waste Monthly Fee,Waste Disposal
Utility Water Bill - Admin Block Monthly Invoice,Water
Refuse Collection - Pallet Disposal Weekly Service,Waste Disposal
Water Charges - Fire Sprinklers Q2,Water
Fuel Oil Delivery - Chemical Storage Winter Season,Heating
Waste Disposal - Solvent Waste Weekly Service,Waste Disposal
Municipal Water - Production Site April,Water
Water Supply - Laboratory Meter Reading,Water
Refuse Collection - Recyclable Materials Q1,Waste Disposal
Kwh Usage - Corporate Office (Year-End),Electricity
Natural Gas Supply - Boiler Room Monthly,Heating
Propane Purchase - Chemical Storage Q4,Heating
Refuse Collection - Industrial Debris Monthly Fee,Waste Disposal
Gas Consumption - Chemical Storage February,Heating
Fuel Oil Delivery - Drying Ovens February,Heating
H2O Billing - Irrigation System Annual Fee,Water
Natural Gas Supply - Boiler Room Monthly,Heating
Refuse Collection - Pallet Disposal Q1,Waste Disposal
Municipal Water - Irrigation System April,Water
Electrical Service - Data Center (Q3),Electricity
Natural Gas Supply - Manufacturing Area February,Heating
Fuel Oil Delivery - Manufacturing Area Q4,Heating
Waste Disposal - Recyclable Materials Bi-Weekly Pickup,Waste Disposal
Water Charges - Admin Block Q3,Water
Power Consumption - R&D Lab (Year-End),Electricity
Electricity Supply - Production Line 3 (January),Electricity
Heating Service - Office Building 2 February,Heating
Refuse Collection - Recyclable Materials Bi-Weekly Pickup,Waste Disposal
Water Supply - Production Site Q2,Water
Municipal Water - Cooling Tower April,Water
Chemical Waste Removal - Pallet Disposal Bi-Weekly Pickup,Waste Disposal
Heating Service - Drying Ovens Q4,Heating
H2O Billing - Production Site July,Water
Electricity Supply - Production Line 3 (Q3),Electricity
Grid Charge - R&D Lab (January),Electricity
Propane Purchase - Chemical Storage October,Heating
Hazardous Waste Pickup - Recyclable Materials Q1,Waste Disposal
Power Consumption - Production Line 3 (Q3),Electricity
Utility Water Bill - Irrigation System Meter Reading,Water
Chemical Waste Removal - Pallet Disposal Monthly Fee,Waste Disposal
Natural Gas Supply - Office Building 2 Winter Season,Heating
Natural Gas Supply - Drying Ovens Winter Season,Heating
Kwh Usage - R&D Lab (Year-End),Electricity
Hazardous Waste Pickup - Industrial Debris Q1,Waste Disposal
Hazardous Waste Pickup - Industrial Debris Bi-Weekly Pickup,Waste Disposal
Water Charges - Production Site Q3,Water
Water Charges - Laboratory Annual Fee,Water
Kwh Usage - Main Plant (January),Electricity
Natural Gas Supply - Drying Ovens Peak Demand,Heating
Municipal Water - Admin Block Monthly Invoice,Water
Heating Service - Warehouse Q4,Heating
Municipal Water - Admin Block Monthly Invoice,Water
Hazardous Waste Pickup - Industrial Debris Container Emptying,Waste Disposal
Water Charges - Cooling Tower Monthly Invoice,Water
Electrical Service - Production Line 3 (December),Electricity
Natural Gas Supply - Office Building 2 Gas Meter Reading,Heating
Propane Purchase - Manufacturing Area Gas Meter Reading,Heating
Hazardous Waste Pickup - General Refuse Q1,Waste Disposal
Hazardous Waste Pickup - General Refuse Container Emptying,Waste Disposal
Scrap Metal Hauling - Industrial Debris Q1,Waste Disposal
Natural Gas Supply - Office Building 2 Winter Season,Heating
Municipal Water - Irrigation System April,Water
Natural Gas Supply - Manufacturing Area Monthly,Heating
Electrical Service - Packaging Facility (January),Electricity
Hazardous Waste Pickup - Recyclable Materials Bi-Weekly Pickup,Waste Disposal
Hazardous Waste Pickup - General Refuse Container Emptying,Waste Disposal
Propane Purchase - Boiler Room Q4,Heating
Waste Disposal - General Refuse Weekly Service,Waste Disposal
Propane Purchase - Chemical Storage Monthly,Heating
Natural Gas Supply - Boiler Room Peak Demand,Heating
Utility Water Bill - Irrigation System July,Water
Municipal Water - Production Site Meter Reading,Water
Kwh Usage - North Warehouse (Semi-Annual),Electricity
Water Charges - Fire Sprinklers Annual Fee,Water
Gas Consumption - Office Building 2 October,Heating
Chemical Waste Removal - Recyclable Materials Container Emptying,Waste Disposal
Municipal Water - Laboratory Meter Reading,Water
Kwh Usage - North Warehouse (Q3),Electricity
Kwh Usage - Production Line 3 (Year-End),Electricity
Electricity Supply - North Warehouse (Monthly),Electricity
Power Consumption - Corporate Office (Q1),Electricity
Water Supply - Irrigation System April,Water
Propane Purchase - Boiler Room Winter Season,Heating
Natural Gas Supply - Boiler Room February,Heating
Fuel Oil Delivery - Office Building 2 Monthly,Heating
Scrap Metal Hauling - General Refuse Weekly Service,Waste Disposal
Water Charges - Admin Block Q2,Water
Hazardous Waste Pickup - Pallet Disposal Monthly Fee,Waste Disposal
Waste Disposal - General Refuse Weekly Service,Waste Disposal
Fuel Oil Delivery - Chemical Storage October,Heating
Refuse Collection - Industrial Debris Monthly Fee,Waste Disposal
Municipal Water - Production Site July,Water
Grid Charge - R&D Lab (Q3),Electricity
Water Charges - Irrigation System Monthly Invoice,Water
Utility Water Bill - Laboratory Q2,Water
Water Charges - Laboratory Meter Reading,Water
Hazardous Waste Pickup - Pallet Disposal Weekly Service,Waste Disposal
Grid Charge - R&D Lab (Q1),Electricity
Scrap Metal Hauling - Pallet Disposal Q1,Waste Disposal
Water Charges - Cooling Tower July,Water
Water Supply - Laboratory Monthly Invoice,Water
Refuse Collection - Recyclable Materials Bi-Weekly Pickup,Waste Disposal
Waste Disposal - Pallet Disposal Monthly Fee,Waste Disposal
Heating Service - Chemical Storage Q4,Heating
Municipal Water - Cooling Tower Q2,Water
Gas Consumption - Office Building 2 Winter Season,Heating
Gas Consumption - Chemical Storage October,Heating
Refuse Collection - Industrial Debris Q1,Waste Disposal
Natural Gas Supply - Drying Ovens Winter Season,Heating
Electrical Service - Corporate Office (Q1),Electricity
Gas Consumption - Manufacturing Area Peak Demand,Heating
Propane Purchase - Chemical Storage Monthly,Heating
Utility Water Bill - Production Site Monthly Invoice,Water
Propane Purchase - Manufacturing Area Peak Demand,Heating
Electrical Service - Corporate Office (Semi-Annual),Electricity
Kwh Usage - R&D Lab (Q3),Electricity
Electricity Supply - Main Plant (December),Electricity
Kwh Usage - North Warehouse (Semi-Annual),Electricity
Refuse Collection - Pallet Disposal Container Emptying,Waste Disposal
Gas Consumption - Drying Ovens Monthly,Heating
Kwh Usage - North Warehouse (December),Electricity
Electricity Supply - Packaging Facility (Year-End),Electricity
Municipal Water - Fire Sprinklers Annual Fee,Water
H2O Billing - Admin Block Annual Fee,Water
Grid Charge - Production Line 3 (Q1),Electricity
Kwh Usage - Data Center (December),Electricity
Heating Service - Boiler Room Gas Meter Reading,Heating
Refuse Collection - General Refuse Container Emptying,Waste Disposal
Refuse Collection - Industrial Debris Q1,Waste Disposal
Grid Charge - North Warehouse (Q3),Electricity
Water Supply - Admin Block Monthly Invoice,Water
Propane Purchase - Office Building 2 Q4,Heating
Water Charges - Admin Block Q3,Water
Scrap Metal Hauling - Industrial Debris Monthly Fee,Waste Disposal
H2O Billing - Laboratory April,Water
Grid Charge - Packaging Facility (Year-End),Electricity
Utility Water Bill - Fire Sprinklers July,Water
Electricity Supply - R&D Lab (Quarterly),Electricity
Hazardous Waste Pickup - General Refuse Monthly Fee,Waste Disposal
Waste Disposal - Solvent Waste Monthly Fee,Waste Disposal
Chemical Waste Removal - Solvent Waste Container Emptying,Waste Disposal
Natural Gas Supply - Manufacturing Area Monthly,Heating
Refuse Collection - Solvent Waste Container Emptying,Waste Disposal
Municipal Water - Production Site Meter Reading,Water
Gas Consumption - Boiler Room Q4,Heating
Scrap Metal Hauling - Recyclable Materials Bi-Weekly Pickup,Waste Disposal
H2O Billing - Admin Block July,Water
Utility Water Bill - Production Site Q3,Water
Scrap Metal Hauling - Solvent Waste Weekly Service,Waste Disposal
Water Charges - Fire Sprinklers April,Water
Municipal Water - Cooling Tower Q2,Water
Scrap Metal Hauling - Pallet Disposal Container Emptying,Waste Disposal
Gas Consumption - Chemical Storage February,Heating
Gas Consumption - Warehouse Monthly,Heating
Municipal Water - Admin Block Q2,Water
H2O Billing - Production Site Q2,Water
Utility Water Bill - Laboratory Q3,Water
Power Consumption - North Warehouse (Monthly),Electricity
Propane Purchase - Chemical Storage Winter Season,Heating
Chemical Waste Removal - Industrial Debris Monthly Fee,Waste Disposal
Water Charges - Laboratory April,Water
Natural Gas Supply - Boiler Room Gas Meter Reading,Heating
Grid Charge - Packaging Facility (December),Electricity
Electricity Supply - Production Line 3 (Semi-Annual),Electricity
Chemical Waste Removal - General Refuse Container Emptying,Waste Disposal
Heating Service - Manufacturing Area October,Heating
Kwh Usage - Production Line 3 (Monthly),Electricity
Power Consumption - Data Center (Semi-Annual),Electricity
Water Supply - Laboratory Monthly Invoice,Water
Scrap Metal Hauling - Pallet Disposal Weekly Service,Waste Disposal
Propane Purchase - Warehouse Q4,Heating
Waste Disposal - Recyclable Materials Weekly Service,Waste Disposal
Propane Purchase - Manufacturing Area Winter Season,Heating
Electrical Service - Production Line 3 (Monthly),Electricity
Water Supply - Laboratory July,Water
Fuel Oil Delivery - Drying Ovens Gas Meter Reading,Heating
Municipal Water - Fire Sprinklers April,Water
Scrap Metal Hauling - General Refuse Monthly Fee,Waste Disposal
Power Consumption - Main Plant (Semi-Annual),Electricity
Propane Purchase - Warehouse Winter Season,Heating
Electrical Service - Packaging Facility (Q3),Electricity
Chemical Waste Removal - Pallet Disposal Bi-Weekly Pickup,Waste Disposal
Power Consumption - Main Plant (December),Electricity
Scrap Metal Hauling - Pallet Disposal Q1,Waste Disposal
Hazardous Waste Pickup - Recyclable Materials Q1,Waste Disposal
Water Charges - Fire Sprinklers Monthly Invoice,Water
Electricity Supply - Corporate Office (Monthly),Electricity
Propane Purchase - Manufacturing Area Peak Demand,Heating
Natural Gas Supply - Chemical Storage Winter Season,Heating
Grid Charge - R&D Lab (December),Electricity
Propane Purchase - Manufacturing Area Monthly,Heating
Grid Charge - Corporate Office (January),Electricity
Heating Service - Office Building 2 Monthly,Heating
Refuse Collection - Industrial Debris Monthly Fee,Waste Disposal
Waste Disposal - Recyclable Materials Monthly Fee,Waste Disposal
Gas Consumption - Warehouse Monthly,Heating
Propane Purchase - Office Building 2 Q4,Heating
Waste Disposal - Pallet Disposal Bi-Weekly Pickup,Waste Disposal
Utility Water Bill - Laboratory Monthly Invoice,Water
Natural Gas Supply - Drying Ovens Peak Demand,Heating
Hazardous Waste Pickup - Recyclable Materials Bi-Weekly Pickup,Waste Disposal
Grid Charge - R&D Lab (Monthly),Electricity
H2O Billing - Production Site July,Water
Chemical Waste Removal - Solvent Waste Weekly Service,Waste Disposal
Electrical Service - Packaging Facility (Quarterly),Electricity
Water Supply - Irrigation System Q2,Water
Fuel Oil Delivery - Office Building 2 Peak Demand,Heating
Heating Service - Office Building 2 Winter Season,Heating
Heating Service - Drying Ovens Monthly,Heating
Chemical Waste Removal - Industrial Debris Monthly Fee,Waste Disposal
Hazardous Waste Pickup - Recyclable Materials Container Emptying,Waste Disposal
Grid Charge - Main Plant (January),Electricity
Electrical Service - Production Line 3 (Semi-Annual),Electricity
Electricity Supply - Corporate Office (Semi-Annual),Electricity
Chemical Waste Removal - Solvent Waste Monthly Fee,Waste Disposal
Chemical Waste Removal - Industrial Debris Monthly Fee,Waste Disposal
H2O Billing - Cooling Tower April,Water
Electricity Supply - North Warehouse (Q3),Electricity
Scrap Metal Hauling - General Refuse Monthly Fee,Waste Disposal
Waste Disposal - Industrial Debris Container Emptying,Waste Disposal
Hazardous Waste Pickup - Recyclable Materials Monthly Fee,Waste Disposal
Fuel Oil Delivery - Manufacturing Area Peak Demand,Heating
Natural Gas Supply - Office Building 2 Monthly,Heating
Water Charges - Cooling Tower Q2,Water
Chemical Waste Removal - General Refuse Container Emptying,Waste Disposal
Electrical Service - Data Center (Q1),Electricity
Electrical Service - Corporate Office (Year-End),Electricity
Propane Purchase - Chemical Storage Gas Meter Reading,Heating
Municipal Water - Production Site Annual Fee,Water
Scrap Metal Hauling - General Refuse Monthly Fee,Waste Disposal
Water Charges - Irrigation System April,Water
Kwh Usage - Corporate Office (Q1),Electricity
Municipal Water - Admin Block April,Water
Municipal Water - Production Site Monthly Invoice,Water
Natural Gas Supply - Warehouse Q4,Heating
Heating Service - Drying Ovens Gas Meter Reading,Heating
Heating Service - Drying Ovens Gas Meter Reading,Heating
Power Consumption - Packaging Facility (Semi-Annual),Electricity
Water Supply - Irrigation System April,Water
Scrap Metal Hauling - Pallet Disposal Weekly Service,Waste Disposal
Scrap Metal Hauling - General Refuse Monthly Fee,Waste Disposal
H2O Billing - Cooling Tower Q2,Water
Refuse Collection - Industrial Debris Q1,Waste Disposal
Propane Purchase - Boiler Room February,Heating
Fuel Oil Delivery - Boiler Room October,Heating
Grid Charge - Corporate Office (Q1),Electricity
Heating Service - Warehouse Gas Meter Reading,Heating
Hazardous Waste Pickup - Solvent Waste Container Emptying,Waste Disposal
Scrap Metal Hauling - Recyclable Materials Container Emptying,Waste Disposal
Fuel Oil Delivery - Manufacturing Area Peak Demand,Heating
Heating Service - Chemical Storage Winter Season,Heating
Utility Water Bill - Production Site Q2,Water
Chemical Waste Removal - Industrial Debris Monthly Fee,Waste Disposal
Chemical Waste Removal - Pallet Disposal Monthly Fee,Waste Disposal
Electrical Service - Main Plant (Q3),Electricity
Scrap Metal Hauling - Recyclable Materials Container Emptying,Waste Disposal
Hazardous Waste Pickup - Industrial Debris Q1,Waste Disposal
H2O Billing - Irrigation System July,Water
Municipal Water - Cooling Tower April,Water
Propane Purchase - Drying Ovens Winter Season,Heating
Hazardous Waste Pickup - Recyclable Materials Bi-Weekly Pickup,Waste Disposal
Kwh Usage - Main Plant (Q1),Electricity
Natural Gas Supply - Office Building 2 Peak Demand,Heating
Utility Water Bill - Laboratory Annual Fee,Water
Chemical Waste Removal - Pallet Disposal Q1,Waste Disposal
Natural Gas Supply - Drying Ovens Peak Demand,Heating
Grid Charge - Packaging Facility (Semi-Annual),Electricity
Water Charges - Cooling Tower Meter Reading,Water
Power Consumption - North Warehouse (Semi-Annual),Electricity
Scrap Metal Hauling - General Refuse Q1,Waste Disposal
Hazardous Waste Pickup - Solvent Waste Weekly Service,Waste Disposal
Propane Purchase - Warehouse Monthly,Heating
Electricity Supply - Data Center (December),Electricity
Municipal Water - Admin Block July,Water
Refuse Collection - Pallet Disposal Q1,Waste Disposal
Refuse Collection - Industrial Debris Bi-Weekly Pickup,Waste Disposal
Utility Water Bill - Fire Sprinklers Q2,Water
Gas Consumption - Office Building 2 February,Heating
Gas Consumption - Manufacturing Area October,Heating
Electrical Service - Packaging Facility (January),Electricity
Hazardous Waste Pickup - Recyclable Materials Q1,Waste Disposal
Electrical Service - Packaging Facility (Year-End),Electricity
Refuse Collection - General Refuse Container Emptying,Waste Disposal
Electrical Service - Main Plant (Semi-Annual),Electricity
Chemical Waste Removal - Industrial Debris Bi-Weekly Pickup,Waste Disposal
Waste Disposal - Pallet Disposal Monthly Fee,Waste Disposal
Propane Purchase - Chemical Storage Monthly,Heating
Chemical Waste Removal - Industrial Debris Q1,Waste Disposal
Water Charges - Cooling Tower Meter Reading,Water
Electrical Service - R&D Lab (Semi-Annual),Electricity
Water Charges - Admin Block July,Water
Water Supply - Irrigation System Meter Reading,Water
Fuel Oil Delivery - Manufacturing Area Q4,Heating
Waste Disposal - Pallet Disposal Q1,Waste Disposal
Propane Purchase - Warehouse Winter Season,Heating
Water Charges - Fire Sprinklers Monthly Invoice,Water
Utility Water Bill - Fire Sprinklers Q2,Water
Water Charges - Fire Sprinklers Meter Reading,Water
Kwh Usage - Data Center (December),Electricity
Utility Water Bill - Fire Sprinklers Annual Fee,Water
Scrap Metal Hauling - Pallet Disposal Container Emptying,Waste Disposal
Propane Purchase - Drying Ovens October,Heating
Municipal Water - Laboratory April,Water
Utility Water Bill - Irrigation System Q3,Water
Chemical Waste Removal - Solvent Waste Q1,Waste Disposal
Fuel Oil Delivery - Manufacturing Area February,Heating
Kwh Usage - Packaging Facility (Q1),Electricity
Waste Disposal - Industrial Debris Container Emptying,Waste Disposal
Gas Consumption - Warehouse Winter Season,Heating
H2O Billing - Laboratory Monthly Invoice,Water
Chemical Waste Removal - General Refuse Weekly Service,Waste Disposal
Electricity Supply - Corporate Office (December),Electricity
Water Charges - Cooling Tower July,Water
Municipal Water - Irrigation System Monthly Invoice,Water
Municipal Water - Admin Block Monthly Invoice,Water
Power Consumption - Packaging Facility (Quarterly),Electricity
Gas Consumption - Boiler Room Gas Meter Reading,Heating
Water Supply - Production Site July,Water
Gas Consumption - Chemical Storage Monthly,Heating
Kwh Usage - Data Center (Year-End),Electricity
Refuse Collection - General Refuse Weekly Service,Waste Disposal
Chemical Waste Removal - General Refuse Q1,Waste Disposal
Water Charges - Fire Sprinklers April,Water
Chemical Waste Removal - Solvent Waste Weekly Service,Waste Disposal
Refuse Collection - Recyclable Materials Q1,Waste Disposal
Refuse Collection - Recyclable Materials Bi-Weekly Pickup,Waste Disposal
Water Charges - Admin Block Q3,Water
Water Supply - Laboratory Q2,Water
Electrical Service - Packaging Facility (December),Electricity
Power Consumption - North Warehouse (Monthly),Electricity
Hazardous Waste Pickup - Recyclable Materials Monthly Fee,Waste Disposal
Water Supply - Cooling Tower Monthly Invoice,Water
Power Consumption - Production Line 3 (Q3),Electricity
Electrical Service - Packaging Facility (January),Electricity
Refuse Collection - General Refuse Weekly Service,Waste Disposal
Natural Gas Supply - Boiler Room February,Heating
Gas Consumption - Chemical Storage Q4,Heating
Hazardous Waste Pickup - Solvent Waste Monthly Fee,Waste Disposal
Natural Gas Supply - Office Building 2 February,Heating
Electrical Service - Packaging Facility (December),Electricity
Power Consumption - Main Plant (Monthly),Electricity
H2O Billing - Irrigation System Q3,Water
Water Charges - Irrigation System April,Water
Hazardous Waste Pickup - General Refuse Q1,Waste Disposal
Electrical Service - Data Center (Monthly),Electricity
Natural Gas Supply - Office Building 2 Q4,Heating
Municipal Water - Irrigation System July,Water
Utility Water Bill - Fire Sprinklers July,Water
Grid Charge - R&D Lab (December),Electricity
Power Consumption - Corporate Office (Monthly),Electricity
Waste Disposal - Recyclable Materials Monthly Fee,Waste Disposal
H2O Billing - Cooling Tower Monthly Invoice,Water
Kwh Usage - Production Line 3 (Q3),Electricity
Refuse Collection - Industrial Debris Bi-Weekly Pickup,Waste Disposal
Natural Gas Supply - Manufacturing Area Q4,Heating
Water Charges - Fire Sprinklers Q3,Water
Grid Charge - Main Plant (Q1),Electricity
Electricity Supply - Packaging Facility (Quarterly),Electricity
Hazardous Waste Pickup - Pallet Disposal Q1,Waste Disposal
Refuse Collection - Pallet Disposal Bi-Weekly Pickup,Waste Disposal
Scrap Metal Hauling - Recyclable Materials Q1,Waste Disposal
Kwh Usage - Main Plant (December),Electricity
Utility Water Bill - Fire Sprinklers April,Water
Natural Gas Supply - Drying Ovens Winter Season,Heating
Gas Consumption - Drying Ovens Peak Demand,Heating
Electrical Service - Main Plant (Semi-Annual),Electricity
Natural Gas Supply - Boiler Room October,Heating
Chemical Waste Removal - General Refuse Container Emptying,Waste Disposal
Refuse Collection - Pallet Disposal Q1,Waste Disposal
Power Consumption - North Warehouse (Monthly),Electricity
Chemical Waste Removal - Industrial Debris Container Emptying,Waste Disposal
Refuse Collection - Pallet Disposal Container Emptying,Waste Disposal
Electricity Supply - R&D Lab (December),Electricity
Scrap Metal Hauling - General Refuse Bi-Weekly Pickup,Waste Disposal
Refuse Collection - General Refuse Bi-Weekly Pickup,Waste Disposal
Gas Consumption - Drying Ovens Peak Demand,Heating
Water Supply - Cooling Tower Monthly Invoice,Water
Water Charges - Admin Block April,Water
Water Supply - Admin Block July,Water
Utility Water Bill - Irrigation System July,Water
Scrap Metal Hauling - General Refuse Bi-Weekly Pickup,Waste Disposal
Water Supply - Fire Sprinklers April,Water
Propane Purchase - Chemical Storage Peak Demand,Heating
H2O Billing - Fire Sprinklers Monthly Invoice,Water
Water Supply - Irrigation System Annual Fee,Water
Propane Purchase - Drying Ovens Peak Demand,Heating
Electrical Service - Corporate Office (December),Electricity
Gas Consumption - Drying Ovens Gas Meter Reading,Heating
Electricity Supply - Data Center (Year-End),Electricity
Chemical Waste Removal - General Refuse Container Emptying,Waste Disposal
H2O Billing - Irrigation System April,Water
Utility Water Bill - Laboratory Monthly Invoice,Water
Kwh Usage - North Warehouse (Q1),Electricity
Water Charges - Laboratory Q2,Water
Propane Purchase - Office Building 2 Gas Meter Reading,Heating
Heating Service - Office Building 2 Monthly,Heating
Electricity Supply - Packaging Facility (Year-End),Electricity
Electricity Supply - Corporate Office (December),Electricity
Natural Gas Supply - Manufacturing Area Q4,Heating
Electrical Service - R&D Lab (Semi-Annual),Electricity
Hazardous Waste Pickup - Industrial Debris Bi-Weekly Pickup,Waste Disposal
Electricity Supply - Packaging Facility (Q1),Electricity
Gas Consumption - Chemical Storage February,Heating
Hazardous Waste Pickup - General Refuse Monthly Fee,Waste Disposal
Grid Charge - Data Center (Q1),Electricity
Electricity Supply - Production Line 3 (Monthly),Electricity
Waste Disposal - Industrial Debris Q1,Waste Disposal
Water Supply - Production Site Meter Reading,Water
Chemical Waste Removal - Recyclable Materials Bi-Weekly Pickup,Waste Disposal
Water Charges - Irrigation System Annual Fee,Water
Propane Purchase - Boiler Room Gas Meter Reading,Heating
Grid Charge - Corporate Office (Q3),Electricity
Grid Charge - Data Center (Semi-Annual),Electricity
Heating Service - Chemical Storage Winter Season,Heating
Gas Consumption - Warehouse Q4,Heating
Chemical Waste Removal - Solvent Waste Weekly Service,Waste Disposal
Propane Purchase - Warehouse October,Heating
Water Supply - Laboratory Monthly Invoice,Water
Refuse Collection - Industrial Debris Bi-Weekly Pickup,Waste Disposal
Heating Service - Boiler Room October,Heating
Fuel Oil Delivery - Manufacturing Area Monthly,Heating
Electrical Service - Production Line 3 (Year-End),Electricity
Grid Charge - Packaging Facility (January),Electricity
Grid Charge - R&D Lab (Q1),Electricity
Electrical Service - North Warehouse (Semi-Annual),Electricity
Water Charges - Fire Sprinklers Q2,Water
Chemical Waste Removal - Industrial Debris Container Emptying,Waste Disposal
Water Charges - Laboratory Q2,Water
Chemical Waste Removal - General Refuse Weekly Service,Waste Disposal
Propane Purchase - Chemical Storage Gas Meter Reading,Heating
Scrap Metal Hauling - Industrial Debris Q1,Waste Disposal
Water Charges - Cooling Tower July,Water
Water Charges - Fire Sprinklers April,Water
Gas Consumption - Drying Ovens Monthly,Heating
Electricity Supply - Data Center (January),Electricity
Electrical Service - Corporate Office (Semi-Annual),Electricity
Hazardous Waste Pickup - Pallet Disposal Q1,Waste Disposal
H2O Billing - Irrigation System July,Water
Refuse Collection - Pallet Disposal Q1,Waste Disposal
Refuse Collection - Recyclable Materials Bi-Weekly Pickup,Waste Disposal
Water Charges - Irrigation System Q2,Water
Water Charges - Cooling Tower Monthly Invoice,Water
Hazardous Waste Pickup - Solvent Waste Weekly Service,Waste Disposal
Utility Water Bill - Production Site April,Water
Scrap Metal Hauling - Industrial Debris Weekly Service,Waste Disposal
Electrical Service - Production Line 3 (January),Electricity
Scrap Metal Hauling - General Refuse Container Emptying,Waste Disposal
Hazardous Waste Pickup - Recyclable Materials Q1,Waste Disposal
Waste Disposal - Industrial Debris Q1,Waste Disposal
Chemical Waste Removal - Solvent Waste Q1,Waste Disposal
Grid Charge - North Warehouse (Monthly),Electricity
Fuel Oil Delivery - Manufacturing Area Q4,Heating
Water Charges - Production Site Q2,Water
H2O Billing - Cooling Tower Meter Reading,Water
Heating Service - Manufacturing Area October,Heating
Hazardous Waste Pickup - Industrial Debris Container Emptying,Waste Disposal
Scrap Metal Hauling - Industrial Debris Monthly Fee,Waste Disposal
Propane Purchase - Office Building 2 Gas Meter Reading,Heating
Water Charges - Irrigation System Q3,Water
Fuel Oil Delivery - Boiler Room February,Heating
Natural Gas Supply - Manufacturing Area Q4,Heating
Heating Service - Boiler Room October,Heating
Gas Consumption - Chemical Storage February,Heating
Fuel Oil Delivery - Manufacturing Area Winter Season,Heating
Electricity Supply - Packaging Facility (December),Electricity
Power Consumption - Main Plant (December),Electricity
Natural Gas Supply - Office Building 2 Peak Demand,Heating
Power Consumption - Main Plant (January),Electricity
Chemical Waste Removal - Solvent Waste Monthly Fee,Waste Disposal
Municipal Water - Fire Sprinklers Q2,Water
Power Consumption - Packaging Facility (Quarterly),Electricity
Water Charges - Fire Sprinklers Q2,Water
Propane Purchase - Drying Ovens October,Heating
Grid Charge - R&D Lab (January),Electricity
Grid Charge - R&D Lab (December),Electricity
Power Consumption - R&D Lab (December),Electricity
Water Charges - Laboratory April,Water
Utility Water Bill - Laboratory Annual Fee,Water
Hazardous Waste Pickup - Solvent Waste Weekly Service,Waste Disposal
Heating Service - Chemical Storage Monthly,Heating
Municipal Water - Admin Block Meter Reading,Water
Refuse Collection - Industrial Debris Monthly Fee,Waste Disposal
Fuel Oil Delivery - Warehouse Monthly,Heating
Electricity Supply - R&D Lab (Quarterly),Electricity
Utility Water Bill - Irrigation System Meter Reading,Water
Refuse Collection - Industrial Debris Q1,Waste Disposal
Scrap Metal Hauling - Solvent Waste Container Emptying,Waste Disposal
Electrical Service - Corporate Office (Semi-Annual),Electricity
Propane Purchase - Boiler Room Peak Demand,Heating
Refuse Collection - Recyclable Materials Q1,Waste Disposal
Electrical Service - Data Center (Q3),Electricity
Water Supply - Admin Block July,Water
Scrap Metal Hauling - Solvent Waste Bi-Weekly Pickup,Waste Disposal
Gas Consumption - Warehouse October,Heating
Utility Water Bill - Production Site July,Water
Water Charges - Cooling Tower Q2,Water
Utility Water Bill - Cooling Tower Annual Fee,Water
Electricity Supply - Main Plant (January),Electricity
Water Supply - Fire Sprinklers Monthly Invoice,Water
Water Charges - Fire Sprinklers April,Water
Electricity Supply - Production Line 3 (January),Electricity
Grid Charge - Corporate Office (Q3),Electricity
Municipal Water - Admin Block Q2,Water
Scrap Metal Hauling - Pallet Disposal Q1,Waste Disposal
Refuse Collection - Recyclable Materials Container Emptying,Waste Disposal
Hazardous Waste Pickup - Solvent Waste Container Emptying,Waste Disposal
Refuse Collection - Solvent Waste Monthly Fee,Waste Disposal
Utility Water Bill - Fire Sprinklers July,Water
H2O Billing - Laboratory Q2,Water
Electrical Service - Corporate Office (Q3),Electricity
Water Supply - Irrigation System Q2,Water
Fuel Oil Delivery - Warehouse Peak Demand,Heating
Water Charges - Laboratory Annual Fee,Water
Power Consumption - R&D Lab (Quarterly),Electricity
Water Supply - Cooling Tower Q3,Water
Water Charges - Laboratory Q3,Water
Heating Service - Warehouse February,Heating
Chemical Waste Removal - Pallet Disposal Q1,Waste Disposal
Kwh Usage - North Warehouse (Monthly),Electricity
Chemical Waste Removal - General Refuse Container Emptying,Waste Disposal
Utility Water Bill - Laboratory Meter Reading,Water
H2O Billing - Fire Sprinklers Meter Reading,Water
Chemical Waste Removal - General Refuse Bi-Weekly Pickup,Waste Disposal
Utility Water Bill - Admin Block Meter Reading,Water
Grid Charge - R&D Lab (January),Electricity
Electricity Supply - North Warehouse (Semi-Annual),Electricity
Water Supply - Production Site April,Water
Heating Service - Manufacturing Area Monthly,Heating
Power Consumption - R&D Lab (Year-End),Electricity
Propane Purchase - Chemical Storage Peak Demand,Heating
Gas Consumption - Boiler Room February,Heating
Scrap Metal Hauling - Industrial Debris Weekly Service,Waste Disposal
Electrical Service - R&D Lab (Quarterly),Electricity
Power Consumption - Production Line 3 (December),Electricity
Electrical Service - Packaging Facility (Year-End),Electricity
Utility Water Bill - Production Site Meter Reading,Water
Scrap Metal Hauling - Pallet Disposal Bi-Weekly Pickup,Waste Disposal
Natural Gas Supply - Office Building 2 Peak Demand,Heating
Waste Disposal - Industrial Debris Monthly Fee,Waste Disposal
Hazardous Waste Pickup - Pallet Disposal Container Emptying,Waste Disposal
Electricity Supply - Corporate Office (Monthly),Electricity
Hazardous Waste Pickup - Pallet Disposal Q1,Waste Disposal
